"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
153;1999;1;4;1;"2";16;"KS";51;4,3;3,6;5,4;NA;15;NA;NA
153;2004;2;4;1;"K";16;"KS";51;4,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";16;"KS";51;4,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";16;"KS";51;4,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";17;"KS";48;5;6,55;10,5;NA;15;9,60646292815819;0,014138729763817
153;2004;2;4;1;"K";17;"KS";48;5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";17;"KS";48;5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";17;"KS";48;5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";18;"KS";8;5,3;6,35;9;NA;15;NA;NA
153;2004;2;4;1;"K";18;"KS";8;5,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";18;"KS";8;5,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";18;"KS";8;5,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";19;"KS";18;6,2;4,1;7,4;NA;15;NA;NA
153;2004;2;4;1;"K";19;"KS";18;6,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";19;"KS";18;6,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";19;"KS";18;6,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";20;"KS";358;5,6;5;8,1;NA;15;NA;NA
153;2004;2;4;1;"K";20;"KS";358;5,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";20;"KS";358;5,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";20;"KS";358;5,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";21;"KS";3;10;5,4;NA;NA;15;NA;NA
153;2004;2;4;1;"K";21;"KS";3;10;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";21;"KS";3;10;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";21;"KS";3;10;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";22;"KS";7;11,2;9,3;NA;NA;15;12,4319312072805;0,0389496560039332
153;2004;2;4;1;"K";22;"KS";7;11,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";22;"KS";7;11,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";22;"KS";7;11,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";23;"KS";12;12,4;10,65;NA;NA;15;13,5330323317846;0,0559349264239629
153;2004;2;4;1;"K";23;"KS";12;12,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";23;"KS";12;12,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";23;"KS";12;12,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";24;"KS";18;12,9;10,35;NA;NA;15;13,3019285425258;0,0518819450045222
153;2004;2;4;1;"K";24;"KS";18;12,9;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";24;"KS";18;12,9;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";24;"KS";18;12,9;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";25;"KS";20;11,6;9,9;12,5;NA;15;12,9411318108063;0,0461014936818419
153;2004;2;4;1;"K";25;"KS";20;11,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";25;"KS";20;11,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";25;"KS";20;11,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";26;"KS";23;10,8;6,8;NA;NA;15;9,90134208925337;0,0158647849984225
153;2004;2;4;1;"K";26;"KS";23;10,8;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";26;"KS";23;10,8;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";26;"KS";23;10,8;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";27;"KS";25;9,5;6,45;NA;NA;15;NA;NA
153;2004;2;4;1;"K";27;"KS";25;9,5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";27;"KS";25;9,5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";27;"KS";25;9,5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";28;"KS";26;12,7;7,35;NA;NA;15;10,5212514642745;0,0200289166314758
153;2004;2;4;1;"K";28;"KS";26;12,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";28;"KS";26;12,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";28;"KS";26;12,7;NA;NA;NA;20;NA;NA
153;1999;1;4;4;"1";29;"KS";30;14,2;7,15;NA;NA;15;10,300319903899;0,0184559878395745
153;2004;2;4;4;"1";29;"KS";30;14,2;8,65;NA;NA;15;12,9995180579983;0,0352865724328499
153;2009;3;4;4;"1";29;"KS";30;14,2;11,35;NA;NA;15;14,3994980803636;0,067718106534748
153;2014;4;4;4;"1";29;"KS";30;14,2;15,5;NA;NA;20;18,4216603487238;0,160877841163064
153;1999;1;4;4;"1";30;"KS";31;14,9;7,5;10,3;NA;15;10,6836700662872;0,0212529147356104
153;2004;2;4;4;"1";30;"KS";31;14,9;8,9;11,1;NA;15;13,2082282432191;0,0380134281782013
153;2009;3;4;4;"1";30;"KS";31;14,9;10,5;11,1;NA;15;13,8995347723876;0,0558886250597782
153;2014;4;4;4;"1";30;"KS";31;14,9;11,2;15,8;NA;20;16,8904472325988;0,0776136740217371
153;1999;1;4;1;"1";31;"KS";39;12,4;6,6;NA;NA;15;9,66611037852669;0,0144756683701408
153;2004;2;4;1;"K";31;"KS";39;12,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";31;"KS";39;12,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";31;"KS";39;12,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";32;"KS";43;12,1;5,2;NA;NA;15;7,86404685404306;0,00657357492320589
153;2004;2;4;1;"K";32;"KS";43;12,1;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";32;"KS";43;12,1;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";32;"KS";43;12,1;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";33;"KS";45;11,4;7,6;NA;NA;15;10,7904145948328;0,0220900888591623
153;2004;2;4;1;"K";33;"KS";45;11,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";33;"KS";45;11,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";33;"KS";45;11,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";34;"KS";42,5;13;9,1;NA;NA;15;12,2546205466342;0,0367060549209737
153;2004;2;4;1;"K";34;"KS";42,5;13;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";34;"KS";42,5;13;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";34;"KS";42,5;13;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";35;"KS";52,5;14,3;8,4;12,3;NA;15;11,6020436929749;0,0294021686490338
153;2004;2;4;1;"K";35;"KS";52,5;14,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";35;"KS";52,5;14,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";35;"KS";52,5;14,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";36;"KS";59;12,2;9,95;NA;NA;15;12,9820863601555;0,0467260894248209
153;2004;2;4;1;"K";36;"KS";59;12,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";36;"KS";59;12,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";36;"KS";59;12,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";37;"KS";61;12;6,05;NA;NA;15;NA;NA
153;2004;2;4;1;"K";37;"KS";61;12;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";37;"KS";61;12;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";37;"KS";61;12;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";38;"KS";62;11,4;15,05;NA;NA;15;16,233577713845;0,133944065541338
153;2004;2;4;1;"K";38;"KS";62;11,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";38;"KS";62;11,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";38;"KS";62;11,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";39;"KS";58,5;11,6;5,9;NA;NA;15;NA;NA
153;2004;2;4;1;"K";39;"KS";58,5;11,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";39;"KS";58,5;11,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";39;"KS";58,5;11,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";40;"KS";61;11,6;5,75;9,2;NA;15;NA;NA
153;2004;2;4;1;"K";40;"KS";61;11,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";40;"KS";61;11,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";40;"KS";61;11,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";41;"KS";54;11,7;5,7;NA;NA;15;NA;NA
153;2004;2;4;1;"K";41;"KS";54;11,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";41;"KS";54;11,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";41;"KS";54;11,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";42;"KS";39,5;10,2;8,95;NA;NA;15;12,1190392361943;0,0350692076693407
153;2004;2;4;1;"K";42;"KS";39,5;10,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";42;"KS";39,5;10,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";42;"KS";39,5;10,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";43;"KS";40;10,5;10,45;NA;NA;15;13,3797794845741;0,0532151862939174
153;2004;2;4;1;"K";43;"KS";40;10,5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";43;"KS";40;10,5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";43;"KS";40;10,5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";44;"KS";47;8,7;4,65;NA;NA;15;NA;NA
153;2004;2;4;1;"K";44;"KS";47;8,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";44;"KS";47;8,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";44;"KS";47;8,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";45;"KS";45;8,8;9,6;13,1;NA;15;12,6906944119031;0,042446461126763
153;2004;2;4;1;"K";45;"KS";45;8,8;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";45;"KS";45;8,8;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";45;"KS";45;8,8;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";46;"KS";40;9;6,1;NA;NA;15;NA;NA
153;2004;2;4;1;"K";46;"KS";40;9;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";46;"KS";40;9;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";46;"KS";40;9;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";47;"KS";34;11,2;6,7;NA;NA;15;NA;NA
153;2004;2;4;1;"K";47;"KS";34;11,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";47;"KS";34;11,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";47;"KS";34;11,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";48;"KS";46;7,7;14,15;14,9;NA;15;15,7692561961282;0,115138600073415
153;2004;2;4;1;"K";48;"KS";46;7,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";48;"KS";46;7,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";48;"KS";46;7,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";49;"KS";69;7,4;5,55;10,6;NA;15;NA;NA
153;2004;2;4;1;"K";49;"KS";69;7,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";49;"KS";69;7,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";49;"KS";69;7,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";50;"KS";73;8,9;4,9;7,6;NA;15;NA;NA
153;2004;2;4;1;"K";50;"KS";73;8,9;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";50;"KS";73;8,9;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";50;"KS";73;8,9;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";51;"KS";71;8,9;5,9;NA;NA;15;NA;NA
153;2004;2;4;1;"K";51;"KS";71;8,9;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";51;"KS";71;8,9;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";51;"KS";71;8,9;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";52;"KS";77;14;9,05;NA;NA;15;12,2096771104932;0,0361560774081505
153;2004;2;4;1;"K";52;"KS";77;14;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";52;"KS";77;14;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";52;"KS";77;14;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";53;"LM";81;13,9;31,65;18,1;NA;15;23,2313659080359;0,859755142942851
153;2004;2;4;1;"K";53;"LM";81;13,9;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";53;"LM";81;13,9;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";53;"LM";81;13,9;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";54;"KS";80;12,3;10,6;NA;NA;15;13,4950216524685;0,0552483288681997
153;2004;2;4;1;"K";54;"KS";80;12,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";54;"KS";80;12,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";54;"KS";80;12,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";55;"KS";86;12,4;10;11,1;NA;15;13,0228208194642;0,0473550986953438
153;2004;2;4;1;"K";55;"KS";86;12,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";55;"KS";86;12,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";55;"KS";86;12,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";56;"KS";84;10,2;16,2;NA;NA;15;16,7755621044279;0,160122147663848
153;2004;2;4;1;"K";56;"KS";84;10,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";56;"KS";84;10,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";56;"KS";84;10,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";57;"KS";92;10,8;17,55;NA;NA;15;17,3479899004906;0,193939292738748
153;2004;2;4;1;"K";57;"KS";92;10,8;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";57;"KS";92;10,8;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";57;"KS";92;10,8;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";58;"KS";93;10,3;21,45;NA;NA;15;18,6986163889757;0,310439371544257
153;2004;2;4;1;"K";58;"KS";93;10,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";58;"KS";93;10,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";58;"KS";93;10,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";59;"KS";97;11;23,1;NA;NA;15;19,1648225469276;0,368167022709535
153;2004;2;4;1;"K";59;"KS";97;11;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";59;"KS";97;11;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";59;"KS";97;11;NA;NA;NA;20;NA;NA
153;1999;1;4;4;"1";60;"KU";118;14,3;11,8;10,5;NA;15;12,2878812606343;0,0705159158993043
153;2004;2;4;4;"1";60;"KU";118;14,3;13,35;11,2;"53K";15;12,9692875051808;0,0942825057373899
153;2009;3;4;4;"1";60;"KU";118;14,3;17,15;12;"53K";15;14,5867199975745;0,171343948986646
153;2014;4;4;4;"1";60;"KU";118;14,3;19,7;13,5;"53K";20;16,5028800162745;0,250939788442099
153;1999;1;4;1;"1";61;"KS";126;14,5;11,35;NA;NA;15;14,0448782971075;0,0660149280241488
153;2004;2;4;1;"K";61;"KS";126;14,5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";61;"KS";126;14,5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";61;"KS";126;14,5;NA;NA;NA;20;NA;NA
153;1999;1;4;4;"1";62;"KS";126,1;14,5;32,2;NA;NA;15;21,0279019460658;0,777053736851038
153;2004;2;4;4;"1";62;"KS";126,1;14,5;33,8;NA;NA;15;20,7370012480461;0,844273598048107
153;2009;3;4;4;"1";62;"KS";126,1;14,5;33,7;NA;NA;15;19,6925677387033;0,799222352031992
153;2014;4;4;4;"1";62;"KS";126,1;14,5;35;NA;NA;20;21,0217608024617;0,916569678485676
153;1999;1;4;1;"1";63;"KU";132;13;10,75;NA;NA;15;11,4972874629246;0,0554475033448715
153;2004;2;4;1;"K";63;"KU";132;13;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";63;"KU";132;13;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";63;"KU";132;13;NA;NA;NA;20;NA;NA
153;1999;1;4;4;"2";64;"KS";143;13,3;9,15;NA;NA;15;NA;NA
153;2004;2;4;4;"2";64;"KS";143;13,3;9,65;NA;NA;15;NA;NA
153;2009;3;4;4;"2";64;"KS";143;13,3;11;NA;NA;15;NA;NA
153;2014;4;4;4;"2";64;"KS";143;13,3;11,65;NA;NA;20;NA;NA
153;1999;1;4;4;"2";65;"KS";146;13,6;8,2;11,5;NA;15;NA;NA
153;2004;2;4;4;"2";65;"KS";146;13,6;8,7;11,6;NA;15;NA;NA
153;2009;3;4;4;"2";65;"KS";146;13,6;9,5;12,5;NA;15;NA;NA
153;2014;4;4;4;"2";65;"KS";146;13,6;10,75;12,6;NA;20;NA;NA
153;1999;1;4;1;"1";66;"KU";143;11,3;10,8;NA;NA;15;11,5365153610292;0,0561189775752284
153;2004;2;4;1;"K";66;"KU";143;11,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";66;"KU";143;11,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";66;"KU";143;11,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";67;"KS";141,5;10,5;9;NA;NA;15;NA;NA
153;2004;2;4;1;"K";67;"KS";141,5;10,5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";67;"KS";141,5;10,5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";67;"KS";141,5;10,5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";68;"KS";152;9,5;13;NA;NA;15;15,1170477964078;0,0932499742041332
153;2004;2;4;1;"K";68;"KS";152;9,5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";68;"KS";152;9,5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";68;"KS";152;9,5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";69;"KS";154;9,6;13,7;NA;NA;15;15,5223875745631;0,106288001329505
153;2004;2;4;1;"K";69;"KS";154;9,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";69;"KS";154;9,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";69;"KS";154;9,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";70;"KS";154;11,7;17,65;19,4;NA;15;17,3879265743835;0,196577142499511
153;2004;2;4;1;"K";70;"KS";154;11,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";70;"KS";154;11,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";70;"KS";154;11,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";71;"KS";158;12,7;11,2;NA;NA;15;13,9382985897555;0,0637813163722197
153;2004;2;4;1;"K";71;"KS";158;12,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";71;"KS";158;12,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";71;"KS";158;12,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";72;"KS";161;13,7;13,45;NA;NA;15;15,3806963319732;0,101529711614541
153;2004;2;4;1;"K";72;"KS";161;13,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";72;"KS";161;13,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";72;"KS";161;13,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";73;"KS";168;12,9;8,7;NA;NA;15;NA;NA
153;2004;2;4;1;"K";73;"KS";168;12,9;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";73;"KS";168;12,9;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";73;"KS";168;12,9;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";74;"KS";174;11,8;9,25;NA;NA;15;NA;NA
153;2004;2;4;1;"K";74;"KS";174;11,8;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";74;"KS";174;11,8;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";74;"KS";174;11,8;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";75;"KS";179;11,7;13,45;17,2;NA;15;15,3806963319732;0,101529711614541
153;2004;2;4;1;"K";75;"KS";179;11,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";75;"KS";179;11,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";75;"KS";179;11,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";76;"KS";179;12;12,45;NA;NA;15;14,7789156345706;0,0836272061578974
153;2004;2;4;1;"K";76;"KS";179;12;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";76;"KS";179;12;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";76;"KS";179;12;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";77;"KS";172;8,2;9,35;NA;NA;15;NA;NA
