"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
101;2004;2;4;1;"K";15;"KU";49,5;9,1;NA;NA;"10K";30;NA;NA
101;2009;3;4;1;"K";15;"KU";49,5;9,1;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";15;"KU";49,5;9,1;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";16;"KS";57,5;9;11,55;17,3;NA;20;18,1077288044029;0,0885209083293743
101;2004;2;4;1;"K";16;"KS";57,5;9;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";16;"KS";57,5;9;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";16;"KS";57,5;9;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";17;"KS";56;7,5;13,65;18,1;NA;20;19,8165158296805;0,134640966730744
101;2004;2;4;1;"K";17;"KS";56;7,5;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";17;"KS";56;7,5;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";17;"KS";56;7,5;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";18;"KU";42;4,9;3,85;3,5;NA;20;NA;NA
101;2004;2;4;1;"K";18;"KU";42;4,9;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";18;"KU";42;4,9;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";18;"KU";42;4,9;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";19;"KS";42;4,5;8,6;15,8;NA;20;14,9889034993932;0,0406084524509381
101;2004;2;4;1;"K";19;"KS";42;4,5;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";19;"KS";42;4,5;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";19;"KS";42;4,5;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";20;"KS";39,5;3,8;12,2;17,5;NA;20;18,6747437452464;0,10171849501765
101;2004;2;4;1;"K";20;"KS";39,5;3,8;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";20;"KS";39,5;3,8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";20;"KS";39,5;3,8;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";21;"KS";41;2,2;9,45;17,4;NA;20;15,9916282491141;0,0524182867571422
101;2004;2;4;1;"K";21;"KS";41;2,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";21;"KS";41;2,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";21;"KS";41;2,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";22;"KS";54,5;3;10,9;16,9;NA;20;17,5019722562762;0,0762836452725519
101;2004;2;4;1;"K";22;"KS";54,5;3;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";22;"KS";54,5;3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";22;"KS";54,5;3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";23;"KS";89,5;4,6;5,85;11,8;NA;20;10,99894477909;0,0131208927951019
101;2004;2;4;1;"K";23;"KS";89,5;4,6;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";23;"KS";89,5;4,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";23;"KS";89,5;4,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";24;"KS";100,5;4,7;9,5;11,7;"6T";20;16,0477328633205;0,0531628665775183
101;2004;2;4;1;"K";24;"KS";100,5;4,7;NA;NA;"6T";30;NA;NA
101;2009;3;4;1;"K";24;"KS";100,5;4,7;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";24;"KS";100,5;4,7;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";25;"KU";107,5;4,4;6,1;5,7;"10T";20;NA;NA
101;2004;2;4;1;"K";25;"KU";107,5;4,4;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";25;"KU";107,5;4,4;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";25;"KU";107,5;4,4;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";26;"KU";104;4,6;7,65;6,3;"10T";20;NA;NA
101;2004;2;4;1;"K";26;"KU";104;4,6;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";26;"KU";104;4,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";26;"KU";104;4,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";27;"KS";73;6,2;14,75;21,3;NA;20;20,5844534411108;0,162842057805255
101;2004;2;4;1;"K";27;"KS";73;6,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";27;"KS";73;6,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";27;"KS";73;6,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";28;"KS";76;7,1;9,15;17,3;NA;20;15,6484542850407;0,0480675127725562
101;2004;2;4;1;"K";28;"KS";76;7,1;NA;NA;NA;30;NA;NA
